,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
Egypt,0.03141,0.05235,0.09842,0.11873,0.14972,0.18323,0.2094,0.23222,0.25585,0.28618,0.29944,0.33609,0.3654,0.41745,0.44332,0.45959,0.49546,0.49916,0.50803,0.54242,0.67664,0.90773,0.92437,1.09519,1.16323,1.26491,1.04639,1.13258,1.55479,1.64057,1.70676
Gabon,0.00259,0.00222,0.00209,0.00555,0.00555,0.00209,0.00105,0.00429,0.0037,0.00333,0.00314,0.00372,0.0037,0.0037,0.0037,0.0037,0.0037,0.0037,0.0037,0.0037,0.00296,0.00296,0.00333,0.00333,0.0037,0.0037,0.0037,0.00296,0.00296,0.00296,0.00296
Libya,0.18846,0.11517,0.09214,0.11726,0.12773,0.14972,0.1759,0.1683,0.16417,0.1725,0.18322,0.18338,0.18218,0.176,0.18154,0.17933,0.19301,0.20151,0.20151,0.15677,0.19227,0.19929,0.20632,0.17563,0.21926,0.21556,0.1736,0.19671,0.20336,0.22222,0.25306
Bermuda,0.00259,0.00333,0.00314,0.00335,0.00209,0.00314,0.00314,0.0022,0.00222,0.00222,0.00209,0.00144,0.00089,0.00111,0.00111,0.00074,0.00074,0.00185,0.00185,0.00185,0.00185,0.00185,0.00185,0.00185,0.00185,0.00185,0.00222,0.00133,0.02071,0.02071,0.02108
Nigeria,0.03957,0.07957,0.05235,0.08502,0.10156,0.11308,0.12145,0.13684,0.1394,0.17378,0.13716,0.1759,0.18118,0.18672,0.16823,0.19189,0.20188,0.2163,0.21815,0.22961,0.24884,0.22961,0.23516,0.31466,0.34461,0.38306,0.40376,0.39193,0.45387,0.15345,0.18376
Tunisia,0.01571,0.01724,0.02225,0.02472,0.04326,0.05191,0.0482,0.05585,0.04845,0.06854,0.06674,0.05068,0.03832,0.06054,0.07871,0.06579,0.07629,0.10374,0.11867,0.1211,0.12432,0.1546,0.155,0.14895,0.14935,0.17357,0.15339,0.13926,0.1764,0.12352,0.1324
Asia & Oceania,2.77078,2.90126,2.95689,3.22332,3.83011,4.2699,4.54838,4.87696,5.30162,5.58749,6.21214,6.66291,6.96343,7.39888,8.01236,8.47574,9.15061,9.60147,9.72263,10.4719,10.96785,11.11369,12.08704,12.66688,13.31545,14.36652,15.91798,17.42285,18.24393,19.09659,21.25305
Afghanistan,0.00209,0.00314,0.00524,0.00524,0.00524,0,0,0.02255,0.07321,0.07149,0.07015,0.01152,0.01109,0.01109,0.01109,0.00739,0.0085,0.0085,0.0085,0.0085,0.0085,0.00185,0.00185,0.00074,0.00074,0.00074,0.00074,0.00148,0.00185,0.00111,0.00111
Australia,0.33885,0.38726,0.42902,0.4346,0.46408,0.49544,0.54128,0.55488,0.57886,0.59451,0.6525,0.61028,0.63208,0.65789,0.68776,0.73808,0.74077,0.74599,0.78171,0.8092,0.84955,0.89577,0.94626,0.97736,1.04407,1.08017,1.08673,1.12505,1.18427,1.16137,1.19738
Bangladesh,0.04705,0.05616,0.06117,0.06455,0.0894,0.0941,0.10633,0.12356,0.14123,0.15452,0.15244,0.16279,0.19407,0.2134,0.23226,0.2548,0.26379,0.26379,0.2835,0.31289,0.33536,0.35611,0.38376,0.43208,0.46586,0.49787,0.54481,0.5786,0.63656,0.70325,0.72227
Brunei,0.07284,0.07527,0.08498,0.06313,0.05342,0.06434,0.04006,0.06942,0.05873,0.06904,0.05584,0.01731,0.04039,0.03301,0.02853,0.03954,0.03179,0.03586,0.03097,0.03845,0.04067,0.04992,0.06175,0.06397,0.07395,0.08689,0.14753,0.15163,0.15529,0.09207,0.10982
Burma (Myanmar),0.01152,0.01256,0.01665,0.01958,0.02408,0.02932,0.03979,0.04209,0.03845,0.0403,0.03979,0.03692,0.03635,0.04094,0.05323,0.06105,0.05956,0.05621,0.06551,0.05146,0.05872,0.06188,0.08189,0.09343,0.09938,0.1541,0.13474,0.15335,0.1433,0.12097,0.12246
China,0.58126,0.51795,0.43853,0.49608,0.50414,0.52601,0.55708,0.56894,0.57929,0.58126,0.56902,0.58851,0.59481,0.62263,0.656,0.67573,0.75067,0.8103,0.84212,0.90911,0.94298,1.01808,1.10904,1.19488,1.41107,1.72896,2.08317,2.60211,2.84823,3.26591,3.93804
Hong Kong,0,0,0,0,0,0,0,0,0,0,0.01427,0.01539,0.01726,0.0182,0.01965,0.02083,0.06892,0.10885,0.10144,0.11198,0.09976,0.10068,0.09569,0.07107,0.09332,0.11351,0.11087,0.09946,0.12424,0.11858,0.14864
India,0.0587,0.07366,0.09995,0.11859,0.1269,0.1516,0.20718,0.26093,0.35681,0.36278,0.45925,0.5168,0.54874,0.61215,0.68328,0.72231,0.72009,0.74127,0.78655,0.77778,0.8216,0.88003,0.95671,1.02869,1.16058,1.35426,1.46165,1.55849,1.61991,1.95607,2.36629
Indonesia,0.27309,0.2727,0.25911,0.34768,0.40595,0.48014,0.51782,0.53569,0.56871,0.63669,0.69264,0.84142,0.87638,0.92615,1.05201,1.15673,1.2391,1.22678,1.07127,1.22563,1.04394,0.79104,0.86879,0.87765,0.73599,0.78372,1.08166,1.33379,1.308,1.46544,1.5917
Japan,0.96711,0.99027,1.00267,1.07035,1.4368,1.53658,1.56422,1.61552,1.69405,1.81063,2.14168,2.29704,2.29898,2.34134,2.4643,2.54414,2.66568,2.73527,2.8254,2.9734,3.07709,3.06203,3.2734,3.2734,3.29616,3.28425,3.6291,3.95794,3.85811,3.85442,3.91516
"Korea, South",0,0,0,0,0,0,0.00281,0.08358,0.10798,0.10451,0.11973,0.13863,0.18174,0.22702,0.3022,0.36541,0.48275,0.58719,0.54929,0.66887,0.74815,0.8065,0.92496,0.96379,1.13218,1.20437,1.28741,1.3908,1.41469,1.35992,1.69638
Malaysia,0.05841,0.06467,0.05528,0.08031,0.15854,0.23468,0.291,0.27634,0.30167,0.31015,0.32855,0.39947,0.40468,0.48194,0.50723,0.51057,0.59238,0.62065,0.64742,0.68795,0.8631,0.94305,1.03528,1.01929,0.92595,0.96239,0.98991,0.90178,1.18217,1.15799,1.20559
New Zealand,0.03594,0.04402,0.07633,0.08133,0.10433,0.13499,0.15935,0.15375,0.16832,0.17227,0.17289,0.18455,0.19832,0.17937,0.18019,0.17199,0.19433,0.20893,0.18391,0.21052,0.22084,0.23628,0.22017,0.17077,0.1491,0.13971,0.14823,0.16037,0.15124,0.15389,0.15768
Pakistan,0.2789,0.30771,0.34515,0.33345,0.33064,0.34091,0.36613,0.39153,0.41527,0.44364,0.45019,0.49876,0.51437,0.54452,0.5858,0.60328,0.65045,0.65243,0.66298,0.73225,0.79921,0.72334,0.70439,0.77425,0.84184,0.9463,1.10975,1.13065,1.16751,1.18659,1.2148
Taiwan,0.04502,0.05553,0.0335,0.04921,0.05444,0.05235,0.04188,0.04523,0.02514,0.05251,0.08376,0.105,0.11466,0.11124,0.14055,0.1508,0.17232,0.20568,0.24107,0.24328,0.26809,0.26692,0.31726,0.32428,0.38945,0.40623,0.41482,0.44592,0.4554,0.47218,0.59159
Thailand,0,0.04,0.047,0.0569,0.07,0.128,0.112,0.1315,0.19281,0.18211,0.208,0.236,0.249,0.31042,0.34184,0.36763,0.41852,0.52548,0.55549,0.61415,0.68833,0.81806,0.90328,0.9954,1.03129,1.12341,1.14894,1.2214,1.2873,1.35147,1.55538
Vietnam,0,0.00036,0.00232,0.00232,0.00218,0.00145,0.00145,0.00145,0.00109,0.00109,0.00145,0.00253,0.00761,0.00915,0.00915,0.02597,0.03037,0.00841,0.02561,0.03659,0.04207,0.04756,0.08269,0.09878,0.10976,0.14635,0.20854,0.21586,0.25537,0.2594,0.30037
