"","NRO","SEXO","EDAD","edideal_muj","edideal_hom","DOMINIO","NSEGrup"
"878",878,"Masculino",24,30,30,"Norte","C"
"879",879,"Femenino",32,25,26,"Norte","D/E"
"880",880,"Femenino",65,20,25,"Norte","D/E"
"881",881,"Masculino",56,28,30,"Norte","D/E"
"882",882,"Femenino",36,24,25,"Norte","D/E"
"883",883,"Masculino",33,24,24,"Norte","C"
"884",884,"Femenino",21,27,30,"Norte","C"
"885",885,"Femenino",22,25,25,"Norte","A/B"
"886",886,"Masculino",57,25,27,"Norte","C"
"887",887,"Femenino",53,25,30,"Norte","A/B"
"888",888,"Masculino",33,28,30,"Norte","D/E"
"889",889,"Femenino",45,30,30,"Norte","C"
"890",890,"Femenino",26,25,30,"Norte","D/E"
"891",891,"Femenino",30,30,35,"Norte","C"
"892",892,"Femenino",42,25,30,"Norte","A/B"
"893",893,"Masculino",40,30,30,"Norte","A/B"
"894",894,"Femenino",47,25,25,"Norte","D/E"
"895",895,"Femenino",53,28,30,"Norte","C"
"896",896,"Masculino",37,25,25,"Norte","D/E"
"897",897,"Femenino",40,26,30,"Norte","D/E"
"898",898,"Masculino",66,22,28,"Norte","D/E"
"899",899,"Masculino",38,27,25,"Norte","D/E"
"900",900,"Femenino",19,30,30,"Norte","C"
"901",901,"Masculino",18,25,28,"Norte","C"
"902",902,"Femenino",40,25,27,"Norte","D/E"
"903",903,"Masculino",33,25,26,"Norte","C"
"904",904,"Masculino",56,25,25,"Norte","A/B"
"905",905,"Femenino",19,20,22,"Norte","D/E"
"906",906,"Femenino",18,25,30,"Norte","C"
"907",907,"Femenino",30,22,25,"Norte","D/E"
"908",908,"Masculino",51,25,30,"Norte","D/E"
"909",909,"Masculino",20,27,25,"Norte","C"
"910",910,"Femenino",24,25,28,"Norte","C"
"911",911,"Femenino",19,22,18,"Norte","C"
"912",912,"Femenino",28,20,20,"Norte","C"
"913",913,"Masculino",50,22,24,"Norte","C"
"914",914,"Masculino",19,29,29,"Norte","D/E"
"915",915,"Masculino",48,32,30,"Norte","D/E"
"916",916,"Femenino",34,32,34,"Norte","C"
"917",917,"Femenino",48,27,30,"Norte","C"
"918",918,"Femenino",75,34,34,"Norte","D/E"
"919",919,"Masculino",20,35,36,"Norte","C"
"920",920,"Masculino",18,30,30,"Norte","A/B"
"921",921,"Masculino",23,35,35,"Norte","C"
"922",922,"Masculino",34,33,34,"Norte","C"
"923",923,"Femenino",36,28,28,"Norte","D/E"
"924",924,"Masculino",52,26,29,"Norte","C"
"925",925,"Femenino",38,24,27,"Norte","D/E"
"926",926,"Femenino",18,25,28,"Norte","C"
"927",927,"Femenino",62,26,28,"Norte","D/E"
"928",928,"Femenino",56,24,28,"Norte","D/E"
"929",929,"Masculino",25,30,30,"Norte","D/E"
"930",930,"Masculino",55,29,29,"Norte","D/E"
"931",931,"Femenino",20,27,27,"Norte","D/E"
"932",932,"Femenino",46,28,30,"Norte","D/E"
"933",933,"Femenino",48,30,30,"Norte","D/E"
"934",934,"Masculino",30,28,30,"Norte","C"
"935",935,"Femenino",32,18,20,"Norte","C"
"936",936,"Femenino",35,18,22,"Norte","C"
"937",937,"Femenino",30,24,28,"Norte","C"
"938",938,"Femenino",25,20,20,"Norte","C"
"939",939,"Femenino",43,26,29,"Norte","D/E"
"940",940,"Masculino",31,24,27,"Norte","D/E"
"941",941,"Femenino",30,24,27,"Norte","D/E"
"942",942,"Femenino",18,25,28,"Norte","C"
"943",943,"Femenino",21,25,30,"Norte","D/E"
"944",944,"Femenino",40,35,35,"Norte","D/E"
"945",945,"Femenino",20,33,30,"Norte","D/E"
"946",946,"Femenino",63,28,20,"Norte","D/E"
"947",947,"Masculino",29,25,35,"Norte","D/E"
"948",948,"Femenino",19,28,30,"Norte","D/E"
"949",949,"Femenino",46,25,30,"Norte","C"
"950",950,"Femenino",21,26,28,"Norte","C"
"951",951,"Masculino",75,28,35,"Norte","C"
"952",952,"Masculino",38,25,30,"Norte","C"
"953",953,"Masculino",32,27,30,"Norte","C"
"954",954,"Femenino",31,26,28,"Norte","D/E"
"955",955,"Masculino",63,26,29,"Norte","D/E"
"956",956,"Masculino",36,24,28,"Norte","D/E"
"957",957,"Masculino",23,27,29,"Norte","D/E"
"958",958,"Masculino",19,25,30,"Norte","D/E"
"959",959,"Femenino",63,25,30,"Norte","D/E"
"960",960,"Masculino",55,26,24,"Norte","C"
"961",961,"Masculino",25,27,29,"Norte","D/E"
"962",962,"Masculino",37,29,27,"Norte","D/E"
"963",963,"Masculino",41,24,28,"Norte","D/E"
"964",964,"Masculino",45,28,35,"Oriente","C"
"965",965,"Femenino",41,30,35,"Oriente","C"
"966",966,"Femenino",32,25,25,"Oriente","D/E"
"967",967,"Masculino",28,25,22,"Oriente","A/B"
"968",968,"Masculino",59,25,30,"Oriente","A/B"
"969",969,"Femenino",28,25,28,"Oriente","A/B"
"970",970,"Femenino",35,36,42,"Oriente","C"
"971",971,"Femenino",39,15,25,"Oriente","D/E"
"972",972,"Masculino",61,23,25,"Oriente","A/B"
"973",973,"Femenino",28,28,26,"Oriente","D/E"
"974",974,"Femenino",65,20,28,"Oriente","C"
"975",975,"Femenino",29,26,26,"Oriente","A/B"
"976",976,"Femenino",47,25,30,"Oriente","D/E"
"977",977,"Masculino",20,25,25,"Oriente","C"
"978",978,"Masculino",44,25,25,"Oriente","D/E"
"979",979,"Femenino",37,28,28,"Oriente","A/B"
"980",980,"Femenino",53,20,25,"Oriente","A/B"
"981",981,"Femenino",59,25,28,"Oriente","C"
"982",982,"Femenino",19,30,33,"Oriente","A/B"
"983",983,"Masculino",38,23,28,"Oriente","A/B"
"984",984,"Masculino",19,30,35,"Oriente","C"
"985",985,"Femenino",42,20,20,"Oriente","C"
"986",986,"Masculino",57,24,30,"Oriente","C"
"987",987,"Femenino",19,20,20,"Oriente","D/E"
"988",988,"Femenino",28,30,30,"Oriente","D/E"
"989",989,"Femenino",18,30,30,"Oriente","D/E"
"990",990,"Masculino",83,25,30,"Oriente","D/E"
"991",991,"Masculino",48,25,25,"Oriente","D/E"
"992",992,"Masculino",20,32,32,"Oriente","D/E"
"993",993,"Masculino",18,30,28,"Oriente","D/E"
"994",994,"Masculino",32,30,30,"Oriente","D/E"
"995",995,"Femenino",32,40,40,"Oriente","D/E"
"996",996,"Femenino",65,19,22,"Oriente","D/E"
