Date,Open,High,Low,Close,Volume
9/8/2014,2007.170044,2007.170044,1995.599976,2001.540039,2789.09
9/9/2014,2000.72998,2001.01001,1984.609985,1988.439941,2882.83
9/10/2014,1988.410034,1996.660034,1982.98999,1995.689941,2912.43
9/11/2014,1992.849976,1997.650024,1985.930054,1997.449951,2941.69
9/12/2014,1996.73999,1996.73999,1980.26001,1985.540039,3206.57
9/15/2014,1986.040039,1987.180054,1978.47998,1984.130005,2776.53
9/16/2014,1981.930054,2002.280029,1979.060059,1998.97998,3160.31
9/17/2014,1999.300049,2010.73999,1993.290039,2001.569946,3209.42
9/18/2014,2003.069946,2012.339966,2003.069946,2011.359985,3235.34
9/19/2014,2012.73999,2019.26001,2006.589966,2010.400024,4880.22
9/22/2014,2009.079956,2009.079956,1991.01001,1994.290039,3349.67
9/23/2014,1992.780029,1995.410034,1982.77002,1982.77002,3279.35
9/24/2014,1983.339966,1999.790039,1978.630005,1998.300049,3313.85
9/25/2014,1997.319946,1997.319946,1965.98999,1965.98999,3273.05
9/26/2014,1966.219971,1986.369995,1966.219971,1982.849976,2929.44
9/29/2014,1978.959961,1981.280029,1964.040039,1977.800049,3094.44
9/30/2014,1978.209961,1985.170044,1968.959961,1972.290039,3951.1
10/1/2014,1971.439941,1971.439941,1941.719971,1946.160034,4188.59
10/2/2014,1945.829956,1952.319946,1926.030029,1946.170044,4012.51
10/3/2014,1948.119995,1971.189941,1948.119995,1967.900024,3561.32
10/6/2014,1970.01001,1977.839966,1958.430054,1964.819946,3358.69
10/7/2014,1962.359985,1962.359985,1934.869995,1935.099976,3687.87
10/8/2014,1935.550049,1970.359985,1925.25,1968.890015,4441.89
10/9/2014,1967.680054,1967.680054,1927.560059,1928.209961,4324.02
10/10/2014,1925.630005,1936.97998,1906.050049,1906.130005,4550.54
10/13/2014,1905.650024,1912.089966,1874.140015,1874.73999,4352.58
10/14/2014,1877.109985,1898.709961,1871.790039,1877.699951,4812.01
10/15/2014,1874.180054,1874.180054,1820.660034,1862.48999,6090.8
10/16/2014,1855.949951,1876.01001,1835.02002,1862.76001,5073.15
10/17/2014,1864.910034,1898.160034,1864.910034,1886.76001,4482.12
10/20/2014,1885.619995,1905.030029,1882.300049,1904.01001,3331.21
10/21/2014,1909.380005,1942.449951,1909.380005,1941.280029,3987.09
10/22/2014,1941.290039,1949.310059,1926.829956,1927.109985,3761.93
10/23/2014,1931.02002,1961.949951,1931.02002,1950.819946,3789.25
10/24/2014,1951.589966,1965.27002,1946.27002,1964.579956,3078.38
10/27/2014,1962.969971,1964.640015,1951.369995,1961.630005,3538.86
10/28/2014,1964.140015,1985.050049,1964.140015,1985.050049,3653.26
10/29/2014,1983.290039,1991.400024,1969.040039,1982.300049,3740.35
10/30/2014,1979.48999,1999.400024,1974.75,1994.650024,3586.15
10/31/2014,2001.199951,2018.189941,2001.199951,2018.050049,4292.29
11/3/2014,2018.209961,2024.459961,2013.680054,2017.810059,3555.44
11/4/2014,2015.810059,2015.97998,2001.01001,2012.099976,3956.26
11/5/2014,2015.290039,2023.77002,2014.420044,2023.569946,3766.59
11/6/2014,2023.329956,2031.609985,2015.859985,2031.209961,3669.77
11/7/2014,2032.359985,2034.26001,2025.069946,2031.920044,3704.28
11/10/2014,2032.01001,2038.699951,2030.170044,2038.26001,3284.94
11/11/2014,2038.199951,2041.280029,2035.280029,2039.680054,2958.32
11/12/2014,2037.75,2040.329956,2031.949951,2038.25,3246.65
11/13/2014,2039.209961,2046.180054,2030.439941,2039.329956,3455.27
11/14/2014,2039.73999,2042.219971,2035.199951,2039.819946,3227.13
11/17/2014,2038.290039,2043.069946,2034.459961,2041.319946,3152.89
11/18/2014,2041.47998,2056.080078,2041.47998,2051.800049,3416.19
11/19/2014,2051.159912,2052.139893,2040.369995,2048.719971,3390.85
11/20/2014,2045.869995,2053.840088,2040.48999,2052.75,3128.29
11/21/2014,2057.459961,2071.459961,2056.75,2063.5,3916.42
11/24/2014,2065.070068,2070.169922,2065.070068,2069.409912,3128.06
11/25/2014,2070.149902,2074.209961,2064.75,2067.030029,3392.94
11/26/2014,2067.360107,2073.290039,2066.620117,2072.830078,2745.26
11/28/2014,2074.780029,2075.76001,2065.060059,2067.560059,2504.64
12/1/2014,2065.780029,2065.780029,2049.570068,2053.439941,4159.01
12/2/2014,2053.77002,2068.77002,2053.77002,2066.550049,3686.65
12/3/2014,2067.449951,2076.280029,2066.649902,2074.330078,3612.68
12/4/2014,2073.639893,2077.340088,2062.340088,2071.919922,3408.34
12/5/2014,2072.780029,2079.469971,2070.810059,2075.370117,3419.62
12/8/2014,2074.840088,2075.780029,2054.27002,2060.310059,3800.99
12/9/2014,2056.550049,2060.600098,2034.170044,2059.820068,3970.15
12/10/2014,2058.860107,2058.860107,2024.26001,2026.140015,4114.44
12/11/2014,2027.920044,2055.530029,2027.920044,2035.329956,3917.95
12/12/2014,2030.359985,2032.25,2002.329956,2002.329956,4157.65
12/15/2014,2005.030029,2018.689941,1982.26001,1989.630005,4361.99
12/16/2014,1986.709961,2016.890015,1972.560059,1972.73999,4958.68
12/17/2014,1973.77002,2016.75,1973.77002,2012.890015,4942.37
12/18/2014,2018.97998,2061.22998,2018.97998,2061.22998,4703.38
12/19/2014,2061.040039,2077.850098,2061.030029,2070.649902,6465.53
12/22/2014,2069.280029,2078.76001,2069.280029,2078.540039,3369.52
12/23/2014,2081.47998,2086.72998,2079.77002,2082.169922,3043.95
12/24/2014,2083.25,2087.560059,2081.860107,2081.879883,1416.98
12/26/2014,2084.300049,2092.699951,2084.300049,2088.77002,1735.23
12/29/2014,2087.629883,2093.550049,2085.75,2090.570068,2452.36
12/30/2014,2088.48999,2088.48999,2079.530029,2080.350098,2440.28
12/31/2014,2082.110107,2085.580078,2057.939941,2058.899902,2606.07
