NUMERO_EXPEDIENTE;FECHA_SOLICITUD;ORGANO_COMPETENTE;DESCRIPCION_CAUSA_TERMINACION;FECHA_RESOLUCION;TIPO_DE_ENTRADA;IDENTIFICACION_SOLICITANTE(S/N);PERSONA_FISICA/JURIDICA
213/2016/00321;25/03/2016;Gerencia de Madrid Salud;TIPO I Resuelta favorablemente;11/04/2016;IN - Internet;N;
213/2016/00324;29/03/2016;Dirección General de Transparencia y Calidad;Inadmitir a Trámite;31/03/2016;IN - Internet;S;F
213/2016/00325;30/03/2016;Gerencia de Madrid Salud;TIPO I Resuelta favorablemente;05/04/2016;IN - Internet;N;
213/2016/00326;29/02/2016;Coordinación del Distrito de Fuencarral-El Pardo;Conceder;27/04/2016;AC - Atención al ciudadano;S;F
213/2016/00327;12/03/2016;Coordinación del Distrito de Salamanca;TIPO I Resuelta favorablemente;02/06/2016;IN - Internet;S;F
213/2016/00328;12/03/2016;Secretaría General Técnica del Área de Gobierno de Hacienda y Personal;Conceder;29/04/2016;IN - Internet;S;F
213/2016/00329;01/04/2016;Secretaría General Técnica de Vicealcaldía;TIPO I Resuelta favorablemente;20/04/2016;OT - Otros;N;
213/2016/00330;01/04/2016;Madrid Destino, Cultura, Turismo y Negocio S.A.;TIPO I Resuelta favorablemente;10/05/2016;CE - Correo electrónico;N;
213/2016/00331;01/04/2016;Secretaría General Técnica del Área de Gobierno de Desarrollo Urbano;Denegar;25/04/2016;IN - Internet;S;F
213/2016/00332;01/04/2016;Secretaría General Técnica del Área de Gobierno de Desarrollo Urbano;Inadmitir a Trámite;26/04/2016;IN - Internet;S;F
213/2016/00333;01/04/2016;Secretaría General Técnica del Área de Gobierno de Desarrollo Urbano;Inadmitir a Trámite;26/04/2016;IN - Internet;S;F
213/2016/00334;01/04/2016;Dirección General de Transparencia y Calidad;TIPO I No procedente;04/04/2016;IN - Internet;N;
213/2016/00335;01/04/2016;Dirección General de Transparencia y Calidad;TIPO I Publicada;04/04/2016;IN - Internet;N;
213/2016/00336;04/04/2016;Dirección General de Transparencia y Calidad;TIPO I No procedente;04/04/2016;OT - Otros;N;
213/2016/00337;04/04/2016;Secretaría General Técnica de Coordinación General de la Alcaldía;TIPO I Resuelta favorablemente;03/05/2016;IN - Internet;N;
213/2016/00338;04/04/2016;Dirección General de Transparencia y Calidad;Desistimiento;23/05/2016;IN - Internet;S;F
213/2016/00339;16/03/2016;Dirección General de Transparencia y Calidad;Inadmitir a Trámite;05/04/2016;AC - Atención al ciudadano;S;F
213/2016/00340;11/03/2016;Madrid Destino, Cultura, Turismo y Negocio S.A.;Resolución concediendo;12/05/2016;AC - Atención al ciudadano;S;F
213/2016/00341;07/04/2016;Dirección General de Transparencia y Calidad;Conceder;28/04/2016;IN - Internet;S;F
213/2016/00342;07/04/2016;Dirección General de Transparencia y Calidad;Conceder;28/04/2016;IN - Internet;S;F
213/2016/00343;07/04/2016;Secretaría General Técnica del Área de Gobierno de Desarrollo Urbano;TIPO I Resuelta favorablemente;25/04/2016;IN - Internet;N;
213/2016/00344;07/04/2016;Secretaría General Técnica del Área de Gobierno de Medio Ambiente y Movilidad;TIPO I Resuelta favorablemente;22/04/2016;MD - Madrid 010;N;
213/2016/00345;05/04/2016;Secretaría General Técnica del AG de Portavoz, Seguridad y Emergencias;Resolución concediendo;29/04/2016;AC - Atención al ciudadano;S;F
213/2016/00346;07/04/2016;Madrid Destino, Cultura, Turismo y Negocio S.A.;Resolución concediendo;21/04/2016;IN - Internet;S;F
213/2016/00351;08/04/2016;Dirección General de Transparencia y Calidad;Inadmitir a Trámite;08/04/2016;IN - Internet;S;J
213/2016/00354;08/04/2016;Dirección General de Transparencia y Calidad;Inadmitir a Trámite;08/04/2016;IN - Internet;S;J
213/2016/00356;08/04/2016;Secretaría General Técnica del AG de Portavoz, Seguridad y Emergencias;Resolución concediendo;04/05/2016;IN - Internet;S;F
213/2016/00357;07/04/2016;Secretaría General Técnica del Área de Gobierno de Desarrollo Urbano;TIPO I Resuelta favorablemente;25/04/2016;AC - Atención al ciudadano;N;
213/2016/00359;08/04/2016;Secretaría General Técnica del AG de Familias, Igualdad y Bienestar Social;Resolución concediendo;29/04/2016;IN - Internet;N;
213/2016/00360;09/04/2016;Empresa Mixta de Servicios Funerarios, S.A.;Resolución concediendo;20/04/2016;IN - Internet;S;F
213/2016/00361;08/04/2016;Dirección General de Transparencia y Calidad;Inadmitir a Trámite;29/04/2016;IN - Internet;S;J
213/2016/00362;08/04/2016;Secretaría General Técnica del Área de Gobierno de Desarrollo Urbano;Resolución concediendo;31/05/2016;IN - Internet;S;J
213/2016/00363;08/04/2016;Dirección General de Transparencia y Calidad;Inadmitir a Trámite;15/04/2016;IN - Internet;S;J
213/2016/00364;12/04/2016;Dirección General de Transparencia y Calidad;Conceder;15/04/2016;IN - Internet;S;F
213/2016/00365;12/04/2016;Dirección General de Transparencia y Calidad;Inadmitir a Trámite;18/04/2016;IN - Internet;S;F
213/2016/00366;12/04/2016;Secretaría General Técnica del Área de Gobierno de Desarrollo Urbano;Conceder;13/05/2016;IN - Internet;S;F
213/2016/00367;17/03/2016;Secretaría General Técnica del Área de Gobierno de Desarrollo Urbano;Conceder;18/04/2016;AC - Atención al ciudadano;S;J
213/2016/00368;07/04/2016;Secretaría General Técnica del Área de Gobierno de Hacienda y Personal;TIPO I Resuelta favorablemente;19/04/2016;OT - Otros;N;
213/2016/00369;13/04/2016;Secretaría General Técnica del AG de Familias, Igualdad y Bienestar Social;Resolución concediendo;13/06/2016;IN - Internet;N;
213/2016/00370;14/04/2016;Dirección General de Transparencia y Calidad;Inadmitir a Trámite;28/04/2016;IN - Internet;S;F
213/2016/00371;15/04/2016;Secretaría General Técnica del Área de Gobierno de Medio Ambiente y Movilidad;TIPO I Resuelta favorablemente;20/05/2016;CE - Correo electrónico;N;
213/2016/00372;23/03/2016;Secretaría General Técnica del Área de Gobierno de Desarrollo Urbano;Conceder parcial;21/07/2016;AC - Atención al ciudadano;S;F
213/2016/00373;18/04/2016;Secretaría General Técnica del Área de Gobierno de Hacienda y Personal;Conceder;16/06/2016;IN - Internet;S;F
213/2016/00374;15/04/2016;Madrid Destino, Cultura, Turismo y Negocio S.A.;Resolución concediendo;03/11/2017;AC - Atención al ciudadano;S;F
213/2016/00375;15/04/2016;Madrid Destino, Cultura, Turismo y Negocio S.A.;Resolución concediendo;27/05/2016;AC - Atención al ciudadano;S;F
213/2016/00376;31/03/2016;Dirección General de Transparencia y Calidad;Inadmitir a Trámite;20/04/2016;AC - Atención al ciudadano;S;F
213/2016/00377;19/04/2016;Dirección General de Transparencia y Calidad;Inadmitir a Trámite;20/04/2016;IN - Internet;S;F
213/2016/00401;26/04/2016;Dirección General de Transparencia y Calidad;Inadmitir a Trámite;27/04/2016;IN - Internet;S;F
213/2016/00403;26/04/2016;Secretaría General Técnica de Coordinación General de la Alcaldía;Conceder;27/06/2016;IN - Internet;S;F
213/2016/00404;26/04/2016;Secretaría General Técnica del AG de Portavoz, Seguridad y Emergencias;Resolución concediendo;26/04/2016;IN - Internet;S;F
213/2016/00405;27/04/2016;Dirección General de Transparencia y Calidad;TIPO I Publicada;27/04/2016;OT - Otros;N;
213/2016/00406;22/04/2016;Dirección General de Transparencia y Calidad;Inadmitir a Trámite;28/04/2016;AC - Atención al ciudadano;S;F
213/2016/00407;27/04/2016;Dirección General de Transparencia y Calidad;Inadmitir a Trámite;28/04/2016;IN - Internet;S;J
213/2016/00408;28/04/2016;Coordinación del Distrito de Retiro;Conceder;18/05/2016;IN - Internet;S;F
213/2016/00409;28/04/2016;Madrid Destino, Cultura, Turismo y Negocio S.A.;Resolución concediendo;06/12/2017;IN - Internet;S;F
213/2016/00411;28/04/2016;Secretaría General Técnica del Área de Gobierno de Hacienda y Personal;Conceder;03/08/2016;IN - Internet;S;F
213/2016/00412;03/05/2016;Secretaría General Técnica del Área de Gobierno de Medio Ambiente y Movilidad;TIPO I Resuelta favorablemente;16/06/2016;OT - Otros;N;
213/2016/00413;03/05/2016;Gerencia de Madrid Salud;Resolución concediendo;04/05/2016;OT - Otros;N;
213/2016/00414;03/05/2016;Secretaría General Técnica del Área de Gobierno de Hacienda y Personal;TIPO I Resuelta favorablemente;14/06/2016;IN - Internet;N;
213/2016/00415;04/05/2016;Dirección General de Transparencia y Calidad;Inadmitir a Trámite;06/05/2016;IN - Internet;S;F
213/2016/00416;04/05/2016;Gerencia de Agencia de Actividades;No admisión a trámite;08/06/2016;IN - Internet;N;
213/2016/00417;04/05/2016;Dirección General de Transparencia y Calidad;Inadmitir a Trámite;06/05/2016;IN - Internet;S;F
213/2016/00418;04/05/2016;Dirección General de Transparencia y Calidad;Conceder;06/05/2016;IN - Internet;S;F
213/2016/00419;04/05/2016;Coordinación del Distrito de Villa de Vallecas;TIPO I Resuelta favorablemente;03/06/2016;IN - Internet;N;
213/2016/00420;04/05/2016;Gerencia Agencia para el Empleo;Resolución concediendo;08/09/2016;IN - Internet;S;F
213/2016/00421;05/05/2016;Secretaría General Técnica de Coordinación General de la Alcaldía;TIPO I Resuelta favorablemente;27/06/2016;IN - Internet;N;
213/2016/00422;06/05/2016;Secretaría General Técnica de Coordinación General de la Alcaldía;Resolución concediendo;20/05/2016;OT - Otros;N;
213/2016/00423;06/05/2016;Secretaría General Técnica del Área de Gobierno de Medio Ambiente y Movilidad;TIPO I Resuelta favorablemente;02/06/2016;IN - Internet;N;
213/2016/00424;06/05/2016;Secretaría General Técnica del Área de Gobierno de Hacienda y Personal;TIPO I Resuelta favorablemente;19/05/2016;IN - Internet;N;
213/2016/00425;06/05/2016;Secretaría General Técnica de Vicealcaldía;TIPO I Resuelta favorablemente;20/06/2016;OT - Otros;N;
213/2016/00426;08/05/2016;Dirección General de Transparencia y Calidad;TIPO I No procedente;12/05/2016;IN - Internet;N;
213/2016/00427;09/05/2016;Empresa Municipal de la Vivienda y Suelo de Madrid, S.A.;Resolución concediendo;27/05/2016;IN - Internet;S;F
213/2016/00429;10/05/2016;Madrid Destino, Cultura, Turismo y Negocio S.A.;TIPO I Resuelta favorablemente;26/05/2016;OT - Otros;N;
213/2016/00430;10/05/2016;Madrid Destino, Cultura, Turismo y Negocio S.A.;TIPO I Resuelta favorablemente;26/05/2016;OT - Otros;N;
213/2016/00431;10/05/2016;Madrid Destino, Cultura, Turismo y Negocio S.A.;TIPO I Resuelta favorablemente;26/05/2016;OT - Otros;N;
213/2016/00432;10/05/2016;Madrid Destino, Cultura, Turismo y Negocio S.A.;TIPO I Resuelta favorablemente;09/05/2017;IN - Internet;S;F
213/2016/00433;11/05/2016;Madrid Destino, Cultura, Turismo y Negocio S.A.;TIPO I Resuelta favorablemente;26/05/2016;OT - Otros;N;
213/2016/00434;11/05/2016;Madrid Destino, Cultura, Turismo y Negocio S.A.;TIPO I Resuelta favorablemente;26/05/2016;OT - Otros;N;
213/2016/00435;11/05/2016;Madrid Destino, Cultura, Turismo y Negocio S.A.;TIPO I Resuelta favorablemente;26/05/2016;OT - Otros;N;
213/2016/00436;11/05/2016;Madrid Destino, Cultura, Turismo y Negocio S.A.;TIPO I Resuelta favorablemente;26/05/2016;OT - Otros;N;
213/2016/00437;11/05/2016;Madrid Destino, Cultura, Turismo y Negocio S.A.;TIPO I Resuelta favorablemente;26/05/2016;OT - Otros;N;
213/2016/00438;11/05/2016;Madrid Destino, Cultura, Turismo y Negocio S.A.;TIPO I Resuelta favorablemente;26/05/2016;OT - Otros;N;
213/2016/00439;11/05/2016;Madrid Destino, Cultura, Turismo y Negocio S.A.;TIPO I Resuelta favorablemente;26/05/2016;OT - Otros;N;
213/2016/00440;11/05/2016;Madrid Destino, Cultura, Turismo y Negocio S.A.;TIPO I Resuelta favorablemente;26/05/2016;OT - Otros;N;
213/2016/00441;11/05/2016;Madrid Destino, Cultura, Turismo y Negocio S.A.;TIPO I Resuelta favorablemente;26/05/2016;OT - Otros;N;
213/2016/00442;11/05/2016;Madrid Destino, Cultura, Turismo y Negocio S.A.;TIPO I Resuelta favorablemente;26/05/2016;OT - Otros;N;
213/2016/00443;11/05/2016;Madrid Destino, Cultura, Turismo y Negocio S.A.;TIPO I Resuelta favorablemente;26/05/2016;OT - Otros;N;
213/2016/00444;11/05/2016;Madrid Destino, Cultura, Turismo y Negocio S.A.;TIPO I Resuelta favorablemente;26/05/2016;OT - Otros;N;
213/2016/00445;11/05/2016;Madrid Destino, Cultura, Turismo y Negocio S.A.;TIPO I Resuelta favorablemente;26/05/2016;OT - Otros;N;
213/2016/00446;12/05/2016;Dirección General de Transparencia y Calidad;Conceder;23/05/2016;IN - Internet;S;F
213/2016/00452;29/04/2016;Secretaría General Técnica del Área de Gobierno de Desarrollo Urbano;Conceder;30/05/2016;AC - Atención al ciudadano;S;F
213/2016/00453;12/05/2016;Dirección General de Transparencia y Calidad;Inadmitir a Trámite;24/05/2016;IN - Internet;S;F
213/2016/00454;12/05/2016;Secretaría General Técnica de Vicealcaldía;TIPO I Resuelta favorablemente;20/06/2016;IN - Internet;N;
213/2016/00455;13/05/2016;Dirección General de Transparencia y Calidad;Inadmitir a Trámite;24/05/2016;IN - Internet;S;J
213/2016/00456;17/05/2016;Madrid Calle 30, S.A.;Conceder;11/07/2016;OT - Otros;N;
213/2016/00457;04/05/2016;Dirección General de Transparencia y Calidad;Conceder;23/05/2016;AC - Atención al ciudadano;S;F
213/2016/00458;17/05/2016;Coordinación General de Distritos, Transparencia y Participación Ciudadana;TIPO I Resuelta favorablemente;24/05/2016;OT - Otros;N;
213/2016/00459;05/04/2016;Dirección General de Transparencia y Calidad;Inadmitir a Trámite;25/05/2016;AC - Atención al ciudadano;S;F
213/2016/00460;06/05/2016;Dirección General de Transparencia y Calidad;Inadmitir a Trámite;30/05/2016;AC - Atención al ciudadano;S;F
213/2016/00461;11/04/2016;Secretaría General Técnica del Área de Gobierno de Desarrollo Urbano;Conceder;27/07/2016;AC - Atención al ciudadano;S;F
213/2016/00462;11/04/2016;Dirección General de Transparencia y Calidad;Inadmitir a Trámite;30/05/2016;AC - Atención al ciudadano;S;F
213/2016/00463;29/03/2016;Dirección General de Transparencia y Calidad;Inadmitir a Trámite;30/05/2016;AC - Atención al ciudadano;S;F
213/2016/00466;18/05/2016;Secretaría General Técnica del Área de Gobierno de Hacienda y Personal;TIPO I Resuelta favorablemente;24/06/2016;OT - Otros;N;
213/2016/00467;18/05/2016;Dirección General de Transparencia y Calidad;Inadmitir a Trámite;24/05/2016;IN - Internet;S;F
213/2016/00468;19/05/2016;Secretaría General Técnica de Coordinación General de la Alcaldía;TIPO I Inadmisión art. 18 LT;11/10/2016;IN - Internet;N;
213/2016/00469;19/05/2016;Secretaría General Técnica de Coordinación General de la Alcaldía;Resolución concediendo;03/08/2016;IN - Internet;N;
213/2016/00470;19/05/2016;Dirección General de Transparencia y Calidad;Inadmitir a Trámite;24/05/2016;IN - Internet;S;F
213/2016/00471;20/05/2016;Dirección General de Transparencia y Calidad;Conceder;24/05/2016;IN - Internet;S;F
213/2016/00472;20/05/2016;Dirección General de Transparencia y Calidad;Inadmitir a Trámite;24/05/2016;IN - Internet;S;F
213/2016/00473;13/05/2016;Secretaría General Técnica del Área de Gobierno de Medio Ambiente y Movilidad;Conceder;30/05/2016;AC - Atención al ciudadano;S;F
213/2016/00474;23/05/2016;Dirección General de Transparencia y Calidad;Conceder;06/06/2016;IN - Internet;S;J
213/2016/00475;23/05/2016;Madrid Destino, Cultura, Turismo y Negocio S.A.;Resolución concediendo;30/05/2016;IN - Internet;S;F
213/2016/00476;24/02/2016;Madrid Destino, Cultura, Turismo y Negocio S.A.;Resolución concediendo;25/05/2016;AC - Atención al ciudadano;S;F
213/2016/00477;24/05/2016;Dirección General de Transparencia y Calidad;TIPO I Publicada;13/06/2016;OT - Otros;N;
213/2016/00478;24/05/2016;Madrid Destino, Cultura, Turismo y Negocio S.A.;TIPO I Resuelta favorablemente;26/05/2016;OT - Otros;N;
213/2016/00479;24/05/2016;Madrid Destino, Cultura, Turismo y Negocio S.A.;TIPO I Resuelta favorablemente;26/05/2016;OT - Otros;N;
213/2016/00480;26/05/2016;Dirección General de Transparencia y Calidad;Inadmitir a Trámite;06/06/2016;IN - Internet;S;F
213/2016/00481;26/05/2016;Madrid Destino, Cultura, Turismo y Negocio S.A.;Resolución concediendo;17/07/2016;IN - Internet;S;F
213/2016/00482;27/05/2016;Secretaría General Técnica de Coordinación General de la Alcaldía;TIPO I Resuelta favorablemente;24/06/2016;OT - Otros;N;
213/2016/00483;26/05/2016;Madrid Destino, Cultura, Turismo y Negocio S.A.;No admisión a trámite;26/08/2016;AC - Atención al ciudadano;S;F
213/2016/00485;30/05/2016;Empresa Mixta de Servicios Funerarios, S.A.;Estimación parcial;08/08/2016;IN - Internet;S;F
213/2016/00487;27/05/2016;Club de Campo Villa de Madrid, S.A.;Resolución concediendo;17/06/2016;OT - Otros;S;F
213/2016/00488;31/05/2016;Club de Campo Villa de Madrid, S.A.;Resolución concediendo;22/06/2016;OT - Otros;S;F
213/2016/00489;31/05/2016;Club de Campo Villa de Madrid, S.A.;Resolución concediendo;20/06/2016;OT - Otros;S;F
213/2016/00490;31/05/2016;Club de Campo Villa de Madrid, S.A.;Resolución concediendo;22/06/2016;OT - Otros;S;F
213/2016/00491;13/05/2016;Gerencia de Agencia de Actividades;Conceder;24/06/2016;AC - Atención al ciudadano;S;J
213/2016/00492;13/05/2016;Secretaría General Técnica del Área de Gobierno de Desarrollo Urbano;Conceder;16/06/2016;AC - Atención al ciudadano;S;J
213/2016/00493;31/05/2016;Dirección General de Transparencia y Calidad;TIPO I Publicada;03/06/2016;OT - Otros;N;
213/2016/00494;31/05/2016;Madrid Destino, Cultura, Turismo y Negocio S.A.;TIPO I Resuelta favorablemente;04/07/2016;IN - Internet;N;
213/2016/00495;31/05/2016;Dirección General de Transparencia y Calidad;TIPO I No procedente;31/05/2016;OT - Otros;N;
