"date","time","size","version","os","country","ip_id"
"2020-04-24","12:21:26",87661597,"4.0.0","win","US",136
"2020-04-24","12:21:49",87564164,"4.0.0","win","DE",140
"2020-04-24","12:21:54",87564156,"4.0.0","win",NA,3
"2020-04-24","12:21:57",86429666,"3.6.3","win","US",141
"2020-04-24","12:21:55",86429666,"3.6.3","win","US",142
"2020-04-24","12:21:58",81774921,"3.6.3","osx","US",14
"2020-04-24","12:21:57",86429662,"3.6.3","win","US",143
"2020-04-24","12:21:59",81774921,"3.6.3","osx","US",14
"2020-04-24","12:22:00",81774921,"3.6.3","osx","US",14
"2020-04-24","12:21:57",81774921,"3.6.3","osx","US",14
"2020-04-24","12:22:00",86429663,"3.6.3","win","US",144
"2020-04-24","12:21:58",81774921,"3.6.3","osx","US",14
"2020-04-24","12:22:07",86429663,"3.6.3","win","US",145
"2020-04-24","12:22:05",86429663,"3.6.3","win","US",146
"2020-04-24","12:21:55",87564167,"4.0.0","win",NA,3
"2020-04-24","12:21:58",86429655,"3.6.3","win","US",147
"2020-04-24","12:22:07",81774921,"3.6.3","osx","US",14
"2020-04-24","12:22:05",86429663,"3.6.3","win","US",148
"2020-04-24","12:22:06",81774921,"3.6.3","osx","US",14
"2020-04-24","12:21:58",86429655,"3.6.3","win","US",149
"2020-04-24","12:22:07",81774921,"3.6.3","osx","US",14
"2020-04-24","12:22:00",81774921,"3.6.3","osx","US",14
"2020-04-24","12:21:59",86429655,"3.6.3","win","US",150
"2020-04-24","12:22:08",15417094,"4.0.0","win",NA,3
"2020-04-24","12:22:04",86429655,"3.6.3","win","US",151
"2020-04-24","12:22:10",81774921,"3.6.3","osx","US",14
"2020-04-24","12:22:12",81774921,"3.6.3","osx","US",14
"2020-04-24","12:22:06",87661919,"4.0.0","win","CL",152
"2020-04-24","12:22:13",86429664,"3.6.3","win","US",153
"2020-04-24","12:21:58",87661165,"4.0.0","win",NA,3
"2020-04-24","12:22:16",86429664,"3.6.3","win","US",154
"2020-04-24","12:22:15",86526020,"3.6.3","win","BY",155
"2020-04-24","12:22:22",87564166,"4.0.0","win","GR",156
"2020-04-24","12:22:01",86597899,"3.6.3patched","win","US",6
"2020-04-24","12:22:03",81774921,"3.6.3","osx","US",14
"2020-04-24","12:22:15",81774921,"3.6.3","osx","US",14
"2020-04-24","12:22:24",87661487,"4.0.0","win","CH",157
"2020-04-24","12:22:39",1050226,"3.6.3","win","IT",158
"2020-04-24","12:22:29",87564163,"4.0.0","win","LK",159
"2020-04-24","12:22:43",30485108,"3.6.0","src","DE",160
"2020-04-24","12:22:45",87663595,"4.0.0","win","CN",161
"2020-04-24","12:23:00",87564167,"4.0.0","win","GB",162
"2020-04-24","12:22:57",87667309,"4.0.0","win","US",163
"2020-04-24","12:23:20",81864595,"3.6.3","osx","DE",164
"2020-04-24","12:23:00",87660408,"4.0.0","win","HU",165
"2020-04-24","12:23:11",86597870,"3.6.3patched","win","US",35
"2020-04-24","12:23:25",81774921,"3.6.3","osx","US",14
"2020-04-24","12:23:28",86429664,"3.6.3","win","US",166
"2020-04-24","12:23:37",81774921,"3.6.3","osx","US",14
"2020-04-24","12:23:32",3145384,"4.0.0","win",NA,3
"2020-04-24","16:38:46",87664926,"4.0.0","win","TT",167
"2020-04-24","16:38:36",87660846,"4.0.0","win",NA,3
"2020-04-24","16:38:36",81774920,"3.6.3","osx","US",14
"2020-04-24","16:38:48",81774926,"3.6.3","osx","US",168
"2020-04-24","16:38:56",81135153,"3.6.2","osx","RU",169
