"handle","name","content","replies","retweets","favorite","unix_timestamp","date","url","search_url","hashtags"
"@CharitoABC","RosarioBenavidesAB 🇵🇪","Qué espera el ex Presidente Manuel Merino para denunciar penalmente a Alberto de Belaúnde y a los miembros del Partido Morado por las graves acusaciones falsas en su contra? Falsos desaparecidos,falsos secuestrados y dos fallecidos por la misma turba #MensajeAlaNacion https://t.co/nd5By8ezl7","19","137","327","1606191654000","24 Nov 2020","CharitoABC/status/1331090390758404096","https://twitter.com/search?q=MensajeAlaNacion%20since%3A2020-11-01&src=typed_query","MensajeAlaNacion"
"@ChurreDePiura","Osler Adanaqué⚠️","""Lamento que dentro de las protestas, algunos jóvenes hayan sido afectados en su dignidad a través de alguna detención"" Presidente @FSagasti #MensajeALaNación 🇵🇪","0","0","0","1606183430000","24 Nov 2020","ChurreDePiura/status/1331055895665631236","https://twitter.com/search?q=MensajeAlaNacion%20since%3A2020-11-01&src=typed_query","MensajeALaNación"
"@Omar46255317","Omar","...Temas adicionales: El objetivo de la agricultura, la alimentación - ""Programa Hambre Cero"". La tarea central: Devolver la confianza y esperanza a la ciudadanía. Francisco Rafael Sagasti Hochhausler - Presidente del Perú #FranciscoSagasti #MensajeAlaNacion","0","0","2","1605655001000","17 Nov 2020","Omar46255317/status/1328839505189761025","https://twitter.com/search?q=MensajeAlaNacion%20since%3A2020-11-01&src=typed_query","FranciscoSagasti | MensajeAlaNacion"
"@Andresgpty","Andrés Graphic Productions","El Sr. @MerinoDeLama es tan #RÍDICULO #IDIOTA e #IMBECIL emitiendo un #MENSAJEALANACIÓN, pero lo más IMPORTANTE es que el #PUEBLO de #PERÚ TRIUNFÓ porque #MERINORENUNCIÓ...Demos gracias a #DIOS y a las VOCES POPULARES. @ElPuebloPty @LilMeow_Mochi @WaykaPeru @diegodalboni","1","2","2","1605461004000","15 Nov 2020","Andresgpty/status/1328025823388069894","https://twitter.com/search?q=MensajeAlaNacion%20since%3A2020-11-01&src=typed_query","RÍDICULO | IDIOTA | IMBECIL | MENSAJEALANACIÓN | PUEBLO | PERÚ | MERINORENUNCIÓ | DIOS"
"@AlexanderPCc","Alexander Panta","¿Ya anunció la desactivacion del grupo terna? #MensajeAlaNacion","0","0","0","1606184956000","24 Nov 2020","AlexanderPCc/status/1331062298321055744","https://twitter.com/search?q=MensajeAlaNacion%20since%3A2020-11-01&src=typed_query","MensajeAlaNacion"
"@RafaelStambury","Rafael Stambury","Sagasti no dijo nada de sanciones para los responsables de la masacre. Deja una sensación de pelele. #MensajeAlaNacion","0","0","1","1606184952000","24 Nov 2020","RafaelStambury/status/1331062280243580930","https://twitter.com/search?q=MensajeAlaNacion%20since%3A2020-11-01&src=typed_query","MensajeAlaNacion"
"@soycielana","Graciela Meza M.","Carajo, me hizo llorar. #FranciscoSagasti #MensajealaNacion #PresidenteSagasti","0","0","0","1605653340000","17 Nov 2020","soycielana/status/1328832540443086848","https://twitter.com/search?q=MensajeAlaNacion%20since%3A2020-11-01&src=typed_query","FranciscoSagasti | MensajealaNacion | PresidenteSagasti"
"@PowerPollito","Nano Cortés-Quiroz","Detalles de @MerinoDeLama en su #MensajeALaNación: - Horrible su tinte capilar. - La ""chuleta"" q estaba leyendo se la pusieron muy alta. Pudo lesionarse el cuello. - Se solidariza con la #GeneraciónBicentenario, pero luego les llama ""manipulados"" #Peru 🇵🇪 https://t.co/uI6ZywmZpK","0","1","2","1606153744000","23 Nov 2020","PowerPollito/status/1330931386300108800","https://twitter.com/search?q=MensajeAlaNacion%20since%3A2020-11-01&src=typed_query","MensajeALaNación | GeneraciónBicentenario | Peru"
"@KatBendezu","Kat Bendezú","Comisión de bases para modernizar y fortalecer la PNP es una comisión de reforma. No quiso decir 'reforma' o me pareció? @FSagasti #MensajeAlaNacion #ReformaPolicialYa","0","0","2","1606184542000","24 Nov 2020","KatBendezu/status/1331060560537022468","https://twitter.com/search?q=MensajeAlaNacion%20since%3A2020-11-01&src=typed_query","MensajeAlaNacion | ReformaPolicialYa"
"@KitHuayas","𝑲𝒊𝒕 𝑯.","¿Y el grupo terna dónde quedó? La modernización queda pequeña a comparación de una reforma institucional. Necesitamos medidas de bases @FSagasti La situación actual lo requiere. Lo tibio no ayuda. #MensajeAlaNacion https://t.co/3BZ39EbXF9","0","0","0","1606184523000","24 Nov 2020","KitHuayas/status/1331060480950083588","https://twitter.com/search?q=MensajeAlaNacion%20since%3A2020-11-01&src=typed_query","MensajeAlaNacion"
