id,host_id,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
10008491,40676061,Private room,150,32,3,31/01/2019,0.19,18,112
10009651,51412210,Entire home/apt,90,3,77,09/04/2019,1.93,1,95
10009907,8876390,Entire home/apt,48,60,2,30/06/2017,0.08,6,43
10018775,51446397,Private room,22,1,4,20/05/2018,0.27,1,0
10025383,48848676,Entire home/apt,99,1,177,27/03/2019,4.47,9,148
10027256,34262767,Entire home/apt,20,2,136,10/04/2019,3.43,2,334
10030273,15180824,Private room,25,32,3,01/08/2018,0.1,4,143
10031534,1744516,Entire home/apt,115,3,10,01/01/2019,0.27,19,300
10031889,51501559,Entire home/apt,51,2,27,01/10/2018,0.71,2,221
10034834,8848709,Entire home/apt,450,2,7,27/07/2018,0.18,8,365
10036297,23377306,Entire home/apt,70,32,5,16/08/2018,0.16,15,70
10038461,4687292,Entire home/apt,75,2,164,06/04/2019,4.12,1,157
10049186,51578489,Entire home/apt,30,2,26,07/10/2018,0.74,1,6
10051885,7297363,Entire home/apt,50,2,62,18/03/2019,1.56,14,204
10052599,1391607,Entire home/apt,90,3,7,31/07/2018,0.21,95,26
10062514,51637783,Private room,27,7,6,01/08/2018,0.19,1,10
10065521,51651184,Private room,450,2,145,09/04/2019,3.96,1,208
10078923,4116737,Private room,31,31,18,20/01/2019,0.47,1,209
10081738,51731660,Private room,80,4,9,29/08/2018,0.23,1,20
10082745,51680212,Entire home/apt,19,1,16,16/10/2017,0.4,1,326
10082752,51720638,Entire home/apt,120,1,5,21/09/2018,0.13,1,306
10084062,4006184,Private room,50,1,126,02/04/2019,3.41,17,205
10085581,19060475,Private room,45,2,33,23/09/2017,0.83,2,0
10101846,2202284,Entire home/apt,179,3,63,25/03/2019,1.66,8,233
10109984,51883557,Entire home/apt,50,2,42,09/04/2019,1.06,2,317
10111416,19060475,Entire home/apt,25,3,27,23/09/2017,0.68,2,0
10113300,10380563,Private room,500,3,38,25/03/2019,1.03,44,247
10114547,51903875,Private room,150,3,77,23/03/2019,2.02,1,29
10120072,8251905,Private room,40,7,85,15/08/2018,2.13,1,0
10127537,10547296,Private room,85,32,8,31/08/2018,0.21,47,322
10132170,10380563,Entire home/apt,500,3,54,24/03/2019,1.63,44,238
10132419,10380563,Entire home/apt,500,3,28,12/03/2019,0.71,44,271
10133050,10380563,Entire home/apt,1000,3,16,24/03/2019,0.66,44,276
10133140,10380563,Entire home/apt,1000,3,8,03/02/2019,0.38,44,282
10136354,2060495,Entire home/apt,99,30,9,15/12/2018,0.26,1,284
10146759,50885817,Entire home/apt,220,3,97,06/04/2019,2.44,4,259
10147351,1791076,Private room,50,32,1,01/03/2017,0.04,2,99
10150711,52096900,Private room,11,4,2,27/03/2016,0.05,1,0
10151288,5651747,Entire home/apt,60,3,71,17/02/2019,1.88,9,0
10158990,1006512,Private room,50,2,26,01/10/2018,0.78,1,0
10161006,27865035,Entire home/apt,250,3,123,26/03/2019,3.12,2,17
10163333,7168856,Entire home/apt,75,32,8,05/11/2018,0.24,7,269
10167887,3937003,Private room,150,3,74,06/04/2019,1.86,8,271
10170589,10195643,Entire home/apt,270,2,116,17/03/2019,2.96,1,226
10181360,24254965,Shared room,85,2,89,17/03/2019,2.25,2,257
10182331,52289874,Private room,45,1,176,02/04/2019,4.42,1,222
