id,host_id,neighbourhood_group,neighbourhood,latitude,longitude
4026267,20790978,Eixample,el Fort Pienc,41.4007,2.18148
4026343,20790978,Eixample,el Fort Pienc,41.40068,2.18303
4028518,20886062,Eixample,la Sagrada Família,41.40599,2.17434
4029838,20562475,Eixample,Sant Antoni,41.37524,2.16515
4030869,4101093,Eixample,la Sagrada Família,41.40426,2.17738
4035189,6797428,Sant Martí,el Camp de l'Arpa del Clot,41.4091,2.17991
4036509,7573074,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",41.38778,2.17763
4038792,3594411,Sant Martí,la Vila Olímpica del Poblenou,41.3902,2.19323
4042494,18132040,Eixample,la Dreta de l'Eixample,41.39316,2.16177
4047378,1994100,Eixample,Sant Antoni,41.38119,2.16051
4048710,2553762,Sants-Montjuïc,el Poble Sec,41.37295,2.15904
4051453,2151490,Ciutat Vella,el Raval,41.38546,2.16731
4060175,10939044,Eixample,Sant Antoni,41.37532,2.1529
4065756,2525519,Sant Martí,el Besòs i el Maresme,41.41599,2.2167
4068098,21098113,Eixample,la Dreta de l'Eixample,41.39755,2.17463
4079030,15775899,Eixample,la Dreta de l'Eixample,41.38992,2.17632
4088544,21206293,Sant Martí,la Vila Olímpica del Poblenou,41.39637,2.1959
4090521,12060104,Sant Martí,el Camp de l'Arpa del Clot,41.40768,2.18404
4098117,11738336,Gràcia,la Salut,41.40933,2.15503
4114081,299462,Eixample,la Dreta de l'Eixample,41.40135,2.1696
4116665,21357628,Eixample,la Nova Esquerra de l'Eixample,41.38405,2.14504
4117009,21357628,Eixample,Sant Antoni,41.38241,2.16261
4123060,71615,Sant Martí,el Camp de l'Arpa del Clot,41.40939,2.18003
4123242,7168856,Eixample,l'Antiga Esquerra de l'Eixample,41.39286,2.15482
4131945,20398772,Sant Martí,el Clot,41.41032,2.18994
4133400,19672895,Eixample,la Nova Esquerra de l'Eixample,41.38295,2.1483
4134025,14369643,Ciutat Vella,el Raval,41.38328,2.16402
4134096,20006729,Horta-Guinardó,el Guinardó,41.4193,2.17323
4134634,7123985,Eixample,la Dreta de l'Eixample,41.38802,2.17064
4139672,6797428,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",41.38465,2.17973
4141367,21483975,Eixample,la Nova Esquerra de l'Eixample,41.38106,2.15172
4146224,21387151,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",41.38903,2.17735
4147676,3251553,Sants-Montjuïc,el Poble Sec,41.37378,2.16197
4148060,18183207,Gràcia,el Coll,41.41914,2.15016
4150077,21515301,Eixample,l'Antiga Esquerra de l'Eixample,41.39246,2.14615
4156094,1447144,Sants-Montjuïc,el Poble Sec,41.37213,2.16767
4158947,20398772,Sant Martí,el Clot,41.40965,2.18812
4161341,21595951,Sants-Montjuïc,Sants,41.37866,2.14175
4166058,10044989,Sants-Montjuïc,el Poble Sec,41.37232,2.16301
4200509,21793560,Horta-Guinardó,la Font d'en Fargues,41.42705,2.16454
4201240,21795874,Gràcia,la Salut,41.41153,2.15525
4207069,21829442,Gràcia,la Vila de Gràcia,41.40019,2.15674
4207444,21825503,Ciutat Vella,el Raval,41.37755,2.17431
4207829,21825503,Ciutat Vella,el Raval,41.37817,2.17397
4208435,4030082,Sant Martí,Diagonal Mar i el Front Marítim del Poblenou,41.40408,2.21139
4208455,2041901,Eixample,la Sagrada Família,41.40544,2.17541
4214821,14368366,Gràcia,la Vila de Gràcia,41.39709,2.15769
4216358,21882055,Sants-Montjuïc,el Poble Sec,41.37358,2.16493
4223635,10547296,Sants-Montjuïc,el Poble Sec,41.37344,2.15891
4228483,893805,Eixample,la Dreta de l'Eixample,41.39415,2.16922
4238751,1432835,Eixample,l'Antiga Esquerra de l'Eixample,41.3875,2.15525
4238825,10601536,Sant Martí,el Poblenou,41.39504,2.19938
